"OtherPreciousMetalsAndMining","Quantity[2.3638789916356834*^10, ""USDollars""]"
"Conglomerates","Quantity[2.2394593203890533*^10, ""USDollars""]"
"LuxuryGoods","Quantity[2.0614233909646732*^10, ""USDollars""]"
"ShellCompanies","Quantity[1.909977349693675*^10, ""USDollars""]"
"OilAndGasDrilling","Quantity[1.7849242278279675*^10, ""USDollars""]"
"BusinessEquipmentAndSupplies","Quantity[1.782864854988666*^10, ""USDollars""]"
"AirportsAndAirServices","Quantity[1.7767910698538254*^10, ""USDollars""]"
"Gambling","Quantity[1.6849322412414057*^10, ""USDollars""]"
"PaperAndPaperProducts","Quantity[1.6688822778834929*^10, ""USDollars""]"
"ElectronicsAndComputerDistribution","Quantity[1.6506323389437515*^10, ""USDollars""]"
"Uranium","Quantity[1.3806912287453716*^10, ""USDollars""]"
"FinancialConglomerates","Quantity[1.3194408139557804*^10, ""USDollars""]"
"DepartmentStores","Quantity[1.239142233760873*^10, ""USDollars""]"
"MarineShipping","Quantity[1.237280203430637*^10, ""USDollars""]"
"MetalFabrication","Quantity[1.1988707919976831*^10, ""USDollars""]"
"Aluminum","Quantity[9.325207741073837*^9, ""USDollars""]"
"RealEstateDevelopment","Quantity[7.923505679751064*^9, ""USDollars""]"
"RealEstateDiversified","Quantity[5.687547246203833*^9, ""USDollars""]"
"PollutionAndTreatmentControls","Quantity[5.290849186658317*^9, ""USDollars""]"
"InfrastructureOperations","Quantity[2.3264380576389008*^9, ""USDollars""]"
"TextileManufacturing","Quantity[2.1040285891443908*^9, ""USDollars""]"
"ThermalCoal","Quantity[1.9973479915992284*^9, ""USDollars""]"
"CokingCoal","Quantity[1.7778023143547113*^9, ""USDollars""]"
